JOBID,SUBMITTED_AT,RUNNING_AT,FINISHED_AT,WAIT_DURATION,RUN_DURATION
263,1282909118,1282911167,1282911172,2049,5
264,1282909118,1282911182,1282911187,2064,5
265,1282909118,1282911212,1282911219,2094,7
267,1282909118,1282911257,1282911262,2139,5
266,1282909118,1282911227,1282911252,2109,25
268,1282909118,1282911287,1282911292,2169,5
269,1282909118,1282911302,1282911307,2184,5
270,1282909118,1282911332,1282911337,2214,5
271,1282909118,1282911347,1282911352,2229,5
272,1282909118,1282911377,1282911382,2259,5
273,1282909118,1282911377,1282911383,2259,6
274,1282909118,1282911407,1282911412,2289,5
275,1282909118,1282911422,1282911427,2304,5
276,1282909118,1282911452,1282911477,2334,25
277,1282909118,1282911467,1282911472,2349,5
278,1282909118,1282911497,1282911502,2379,5
279,1282909118,1282911497,1282911502,2379,5
280,1282909118,1282911527,1282911532,2409,5
281,1282909118,1282911542,1282911547,2424,5
282,1282909118,1282911572,1282911578,2454,6
283,1282909118,1282911587,1282911593,2469,6
284,1282909118,1282911617,1282911623,2499,6
285,1282909118,1282911617,1282911622,2499,5
286,1282909118,1282911647,1282911654,2529,7
287,1282909118,1282911662,1282911667,2544,5
288,1282909118,1282911692,1282911699,2574,7
289,1282909118,1282911707,1282911713,2589,6
290,1282909118,1282911737,1282911743,2619,6
291,1282909118,1282911737,1282911749,2619,12
292,1282909118,1282911767,1282911772,2649,5
293,1282909118,1282911782,1282911791,2664,9
294,1282909118,1282911812,1282911819,2694,7
295,1282909118,1282911827,1282911832,2709,5
296,1282909118,1282911857,1282911863,2739,6
297,1282909118,1282911857,1282911863,2739,6
310,1282911523,1282911887,1282911888,364,1
311,1282911523,1282911887,1282911888,364,1
312,1282911523,1282911887,1282911888,364,1
313,1282911523,1282911887,1282911888,364,1
314,1282911523,1282911887,1282911888,364,1
315,1282911523,1282911887,1282911888,364,1
316,1282911523,1282911887,1282911888,364,1
320,1282911577,1282911887,1282911888,310,1
321,1282911577,1282911932,1282911933,355,1
322,1282911577,1282911932,1282911933,355,1
323,1282911577,1282911932,1282911933,355,1
324,1282911577,1282911932,1282911933,355,1
325,1282911577,1282911932,1282911933,355,1
326,1282911577,1282911932,1282911933,355,1
327,1282911577,1282911932,1282911933,355,1
191,1282900897,1282908737,1282912071,7840,3334
176,1282899049,1282911902,1282912605,12853,703
177,1282899206,1282911902,1282912605,12696,703
328,1282912504,1282912622,1282912627,118,5
